ID,Driver,interest_pre,interest_post,enjoyment_pre,enjoyment_post,surprise_pre,surprise_post,sadness_pre,sadness_post,anger_pre,anger_post,disgust_pre,disgust_post,contempt_pre,contempt_post,fear_pre,fear_post,shame_pre,shame_post,guilt_pre,guilt_post
E01,Expert,4,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E02,Expert,4,4,7,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
E03,Expert,5,6,5,6,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E04,Expert,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E05,Expert,7,6,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06,Expert,2,6,3,6,3,2,4,1,4,1,1,2,2,1,2,1,2,1,3,1
E07,Expert,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
E08,Expert,7,5,7,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E09,Expert,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E10,Expert,4,3,4,3,4,1,3,1,2,1,3,2,2,2,3,2,4,3,3,3
N01,Novice,7,6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N02,Novice,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N03,Novice,7,5,5,5,2,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1
N04,Novice,7,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N05,Novice,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N06,Novice,3,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
N07,Novice,2,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N08,Novice,5,5,4,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1
N09,Novice,7,5,6,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
N10,Novice,5,6,5,1,2,1,1,1,2,1,1,1,4,1,2,1,1,1,1,1
