ID,Driver,valence_pre,valence_post,arousal_pre,arousal_post,dominance_pre,dominance_post
E01,Expert,1,1,5,5,2,2
E02,Expert,1,1,2,2,3,3
E03,Expert,2,3,4,4,2,2
E04,Expert,2,2,4,4,3,3
E05,Expert,2,3,5,5,4,4
E06,Expert,1,1,5,5,4,4
E07,Expert,1,1,5,5,2,2
E08,Expert,1,2,4,3,4,3
E09,Expert,2,2,5,4,3,3
E10,Expert,1,1,4,4,3,3
N01,Novice,1,1,3,3,3,3
N02,Novice,2,1,3,3,3,3
N03,Novice,2,1,3,5,4,4
N04,Novice,1,2,3,3,3,3
N05,Novice,2,2,4,4,3,3
N06,Novice,4,3,3,3,3,4
N07,Novice,2,1,5,5,5,5
N08,Novice,2,3,2,2,2,1
N09,Novice,2,4,3,4,3,2
N10,Novice,2,3,5,5,1,3
