condition,start_time,finish_time,start_timestamp,finish_timestamp,duration,relative_time
Baseline,2023-06-07 15:24:39.293000,2023-06-07 15:25:39.293000,1.686122679e+18,1.686122739e+18,60.0,15.0
EAS,2023-06-07 15:27:11.396658,2023-06-07 15:27:23.374576,1.6861228313966584e+18,1.686122843374576e+18,11.977918,167.103658
EMS,2023-06-07 15:27:54.416664,2023-06-07 15:28:08.412565,1.6861228744166638e+18,1.6861228884125647e+18,13.995901,210.123664
UT,2023-06-07 15:28:28.473053,2023-06-07 15:29:04.503022,1.686122908473053e+18,1.6861229445030223e+18,36.029969,244.180053
SD,2023-06-07 15:29:04.503022,2023-06-07 15:29:27.529005,1.6861229445030223e+18,1.6861229675290053e+18,23.025983,280.210022
RT-P1,2023-06-07 15:29:27.529005,2023-06-07 15:29:38.553057,1.6861229675290053e+18,1.6861229785530573e+18,11.024052,303.236005
RT-P2,2023-06-07 15:30:03.576251,2023-06-07 15:30:31.602150,1.686123003576251e+18,1.6861230316021504e+18,28.025899,339.283251
LT-1,2023-06-07 15:31:04.647051,2023-06-07 15:31:15.682961,1.686123064647051e+18,1.686123075682961e+18,11.03591,400.354051
LT-2,2023-06-07 15:31:32.679110,2023-06-07 15:31:43.692977,1.6861230926791096e+18,1.6861231036929772e+18,11.013867,428.38611
RT-1,2023-06-07 15:32:31.739140,2023-06-07 15:32:42.754996,1.6861231517391398e+18,1.6861231627549957e+18,11.015856,487.44614
RT-2,2023-06-07 15:32:52.769818,2023-06-07 15:33:05.793878,1.6861231727698176e+18,1.6861231857938775e+18,13.02406,508.476818
RT-3,2023-06-07 15:33:31.811794,2023-06-07 15:33:42.815729,1.6861232118117937e+18,1.6861232228157294e+18,11.003935,547.518794
RT-4,2023-06-07 15:33:58.841789,2023-06-07 15:34:14.861807,1.6861232388417884e+18,1.6861232548618074e+18,16.020018,574.548789
LT-3,2023-06-07 15:34:56.911432,2023-06-07 15:35:15.931439,1.6861232969114317e+18,1.6861233159314394e+18,19.020007,632.618432
